year,start_policy_rate_pct,end_policy_rate_pct,min_policy_rate_pct,max_policy_rate_pct,net_change_bps,gross_hikes_bps,gross_cuts_bps,decision_count,policy_decision_count,historical_observation_count,hike_count,cut_count,hold_count,first_decision_date,last_decision_date,year_end_action,year_end_stance,year_end_regime_id,year_end_regime_type,year_end_regime_label,year_end_source_id,year_end_source_url,source_count,provenance_summary,snapshot_id,snapshot_checksum,snapshot_retrieved_at,dataset_schema_version,record_text
2000,,10.0,9.0,16.0,,1205,1110,20,0,20,9,10,0,2000-06-05,2000-11-06,cut,,regime-2000-06-05-2003-08-25-easing,easing,Post-dot-com easing,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2000, the Reserve Bank of India policy repo rate ranged from 9.00% to 16.00%; the net change is not computable because the start-of-year boundary is unavailable. The year contains 20 canonical ledger records."
2001,10.0,8.5,8.5,10.0,-150,0,150,3,0,3,0,3,0,2001-03-09,2001-06-07,cut,,regime-2000-06-05-2003-08-25-easing,easing,Post-dot-com easing,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2001, the Reserve Bank of India policy repo rate ranged from 8.50% to 10.00%; a net change of -150 basis points was recorded across 3 canonical ledger records."
2002,8.5,7.5,7.5,8.5,-100,0,100,2,0,2,0,2,0,2002-03-28,2002-11-12,cut,,regime-2000-06-05-2003-08-25-easing,easing,Post-dot-com easing,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2002, the Reserve Bank of India policy repo rate ranged from 7.50% to 8.50%; a net change of -100 basis points was recorded across 2 canonical ledger records."
2003,7.5,7.0,7.0,7.5,-50,0,50,2,0,2,0,2,0,2003-03-07,2003-03-19,cut,,regime-2003-08-25-2008-07-29-tightening,tightening,Pre-GFC tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2003, the Reserve Bank of India policy repo rate ranged from 7.00% to 7.50%; a net change of -50 basis points was recorded across 2 canonical ledger records."
2004,7.0,6.0,6.0,7.0,-100,0,100,1,0,1,0,1,0,2004-03-31,2004-03-31,cut,,regime-2003-08-25-2008-07-29-tightening,tightening,Pre-GFC tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2004, the Reserve Bank of India policy repo rate ranged from 6.00% to 7.00%; a net change of -100 basis points was recorded across 1 canonical ledger record."
2005,6.0,6.25,6.0,6.25,25,25,0,1,0,1,1,0,0,2005-10-26,2005-10-26,hike,,regime-2003-08-25-2008-07-29-tightening,tightening,Pre-GFC tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2005, the Reserve Bank of India policy repo rate ranged from 6.00% to 6.25%; a net change of +25 basis points was recorded across 1 canonical ledger record."
2006,6.25,7.25,6.25,7.25,100,100,0,4,0,4,4,0,0,2006-01-24,2006-10-30,hike,,regime-2003-08-25-2008-07-29-tightening,tightening,Pre-GFC tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2006, the Reserve Bank of India policy repo rate ranged from 6.25% to 7.25%; a net change of +100 basis points was recorded across 4 canonical ledger records."
2007,7.25,7.75,7.25,7.75,50,50,0,2,0,2,2,0,0,2007-01-31,2007-03-30,hike,,regime-2003-08-25-2008-07-29-tightening,tightening,Pre-GFC tightening,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2007, the Reserve Bank of India policy repo rate ranged from 7.25% to 7.75%; a net change of +50 basis points was recorded across 2 canonical ledger records."
2008,7.75,6.5,6.5,9.0,-125,125,250,6,0,6,3,3,0,2008-06-11,2008-12-08,cut,,regime-2008-10-20-2009-04-21-easing,easing,GFC response,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2008, the Reserve Bank of India policy repo rate ranged from 6.50% to 9.00%; a net change of -125 basis points was recorded across 6 canonical ledger records."
2009,6.5,4.75,4.75,6.5,-175,0,175,3,0,3,0,3,0,2009-01-02,2009-04-21,cut,,regime-2009-04-21-2011-10-25-tightening,tightening,Post-GFC normalization,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2009, the Reserve Bank of India policy repo rate ranged from 4.75% to 6.50%; a net change of -175 basis points was recorded across 3 canonical ledger records."
2010,4.75,6.25,4.75,6.25,150,150,0,6,0,6,6,0,0,2010-03-19,2010-11-02,hike,,regime-2009-04-21-2011-10-25-tightening,tightening,Post-GFC normalization,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2010, the Reserve Bank of India policy repo rate ranged from 4.75% to 6.25%; a net change of +150 basis points was recorded across 6 canonical ledger records."
2011,6.25,8.5,6.25,8.5,225,225,0,7,0,7,7,0,0,2011-01-25,2011-10-25,hike,,regime-2011-10-25-2013-05-03-pause,pause,Inflation plateau,source-reuters-historical-2025,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,1,legacy_import,2026-08-14-v2,sha256:7c54caa01180d3018077a174f2239df9e221e520c61a31d952d6b152a16d3c26,2026-08-14T07:35:45.400000Z,1.0.0,"In 2011, the Reserve Bank of India policy repo rate ranged from 6.25% to 8.50%; a net change of +225 basis points was recorded across 7 canonical ledger records."
