source_id,publisher,source_type,title,url,published_at,retrieved_at,checksum,is_primary_source,provenance_class
source-3270380f0b7d,Reserve Bank of India,policy-resolution,"Monetary Policy Statement, 2026-27 Resolution of the Monetary Policy Committee April 6 to 8, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62514,2026-04-08T00:00:00.000000Z,2026-09-23T15:52:03.587000Z,sha256:1ffc3d330cd974d81fb196051ed62e02de531060b61933a5ce1ca76cc6d51f4f,true,official_primary
source-5c261f230add,Reserve Bank of India,policy-resolution,"Monetary Policy Statement, 2026-27 Resolution of the Monetary Policy Committee June 3 to 5, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62863,2026-06-05T00:00:00.000000Z,2026-09-23T15:52:04.441000Z,sha256:06c72429206d39138d1e783e0ac1b7e23392e8b0f68457ff3e446c211b0e0578,true,official_primary
source-8834bb93a0f0,Reserve Bank of India,policy-archive,RBI Monetary Policy archive,https://www.rbi.org.in/scripts/Annualpolicy.aspx,,2026-09-23T15:52:02.928000Z,sha256:2488b8c360ca20b7da433264cb1b527b02fbad92ad548789150ac30018ea4e54,false,official_secondary
source-9f153108642d,Reserve Bank of India,policy-minutes,"Minutes of the Monetary Policy Committee Meeting, August 3 to 5, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=63403,2026-08-19T00:00:00.000000Z,2026-09-23T15:52:04.769000Z,sha256:ff6bedae4cfc7619bd5af4708e64ae74939fb70d756de25f2dd24afe41869279,false,official_secondary
source-a03e7549af0f,Reserve Bank of India,current-policy-rates,RBI Current Policy Rates,https://www.rbi.org.in/,,2026-09-23T15:52:02.190000Z,sha256:85485d169d15e943cf2dcb7103e7c6b4fb585773e7ba26599806256a96a72576,false,official_secondary
source-b6c29da8f60a,Reserve Bank of India,policy-resolution,"Monetary Policy Statement, 2026-27 Resolution of the Monetary Policy Committee August 3 to 5, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=63287,2026-08-05T00:00:00.000000Z,2026-09-23T15:52:04.176000Z,sha256:37d6a54028e1a8208591f7aab5d83aed1027806345a444533bb008b2ef39c4ec,true,official_primary
source-b90d0dee26ee,Reserve Bank of India,policy-minutes,"Minutes of the Monetary Policy Committee Meeting, June 3 to 5, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62974,2026-06-19T00:00:00.000000Z,2026-09-23T15:52:04.283000Z,sha256:37eac307405f1da2a004aa08f247618e8334796cfc420116339c580b6f541295,false,official_secondary
source-cdb8e605e1d7,Reserve Bank of India,policy-minutes,"Minutes of the Monetary Policy Committee Meeting, April 6 to 8, 2026",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62599,2026-04-22T00:00:00.000000Z,2026-09-23T15:52:04.273000Z,sha256:bad61e620a3af3d0a57e646eb300ddc0398478baca950ae0755fde24a13191f8,false,official_secondary
source-reuters-historical-2025,Reuters,historical-rate-series,Reuters — Changes to India's repo rate since June 2000,https://www.reuters.com/world/india/changes-indias-repo-rate-since-june-2000-2025-12-05/,2025-12-05T00:00:00.000000Z,2026-08-14T10:24:42.000000Z,sha256:74557e9615be4bfa54c049e2f334bce4c5116a20e651aea2f2598cf57dfd5ae3,false,legacy_import
source-shriram-historical-2025,Shriram Finance,secondary-historical-reference,Shriram Finance — Detailed Historical Repo Rate Trends (2010–2025),https://www.shriramfinance.in/fixed-deposit/articles/detailed-historical-repo-rate-trends-in-india,2025-12-10T00:00:00.000000Z,2026-08-14T10:24:42.000000Z,sha256:ce997168aa014c7caccc95f5cf50180ba53f6ca805a2a47fbf2b68c747665282,false,legacy_import
